NAL,NS,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO
56,56,2014-1,6,19,19,0,17
57,57,2010-1,6,21,17,4,13
57,57,2010-2,4,14,14,0,15
57,57,2010-C,3,11,7,4,14
58,58,2010-1,6,21,13,8,12
58,58,2010-2,4,15,11,4,11
58,58,2010-C,2,7,3,4,12
58,58,2011-1,6,21,17,4,14
58,58,2011-2,4,15,8,7,11
58,58,2012-2,4,15,3,12,7
59,59,2010-1,6,21,17,4,12
60,60,2010-1,6,21,0,21,0
60,60,2011-1,6,21,3,18,2
61,61,2010-1,6,21,9,12,12
61,61,2010-2,6,21,18,3,14
61,61,2011-1,6,21,13,8,13
61,61,2011-2,6,22,14,8,10
61,61,2011-3,6,22,3,19,3
61,61,2012-2,5,19,0,19,4
61,61,2014-1,6,18,0,18,1
61,61,2014-2,5,15,4,11,7
62,62,2010-1,6,21,21,0,14
62,62,2010-2,6,22,10,12,12
62,62,2010-C,3,11,11,0,16
62,62,2011-1,6,22,14,8,12
62,62,2011-2,6,21,17,4,14
62,62,2011-3,5,20,20,0,16
62,62,2012-1,5,19,19,0,15
62,62,2012-2,6,21,18,3,15
62,62,2013-1,6,22,22,0,15
62,62,2013-3,5,19,8,11,11
62,62,2014-1,4,14,0,14,2
62,62,2014-2,5,18,7,11,13
64,64,2010-1,6,21,3,18,2
65,65,2010-1,6,21,9,12,13
65,65,2010-2,6,21,17,4,14
65,65,2011-1,6,21,14,7,11
65,65,2011-2,6,22,14,8,12
65,65,2011-3,6,22,11,11,10
65,65,2012-1,6,22,15,7,14
65,65,2012-2,6,22,18,4,13
65,65,2013-1,3,12,12,0,15
65,65,2013-2,6,21,21,0,15
65,65,2013-3,6,22,22,0,16
65,65,2014-1,6,22,22,0,15
65,65,2014-2,6,22,18,4,13
65,65,2015-1,7,23,23,0,15
66,66,2010-1,6,21,17,4,13
66,66,2010-2,6,21,10,11,14
66,66,2011-1,6,20,12,8,13
66,66,2011-2,6,19,18,1,14
66,66,2011-3,7,22,12,10,13
66,66,2012-1,7,20,20,0,15
66,66,2012-2,6,22,11,11,12
66,66,2013-1,7,22,22,0,14
66,66,2013-2,7,22,19,3,13
66,66,2013-3,7,21,21,0,15
66,66,2014-1,6,22,22,0,15
66,66,2015-1,6,20,20,0,15
66,66,2015-2,3,12,12,0,14
