NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
173,0,2,1,1,1,0,3,1,2,1,2,0,1,0
174,1,0,1,1,1,3,0,2,1,2,1,1,3,2
175,0,2,1,1,1,4,4,2,1,2,1,1,3,2
176,0,2,1,1,4,4,3,2,1,2,1,1,3,1
177,0,2,1,1,1,3,3,2,1,2,1,1,3,1
178,0,2,1,1,1,4,5,2,1,2,1,1,3,1
179,0,2,1,1,1,4,4,1,2,2,0,1,3,1
180,0,2,1,1,3,5,5,2,1,1,2,1,3,2
181,0,2,1,1,1,4,3,2,0,1,2,1,3,2
182,0,2,1,1,1,4,3,1,2,1,2,1,3,2
183,0,2,1,1,2,4,4,2,1,2,1,1,3,2
184,1,0,1,1,1,0,3,2,0,2,1,1,0,2
185,0,2,1,1,0,3,2,2,1,2,1,1,3,1
186,0,2,1,1,1,1,1,0,2,0,2,1,1,2
187,0,0,1,1,1,3,3,2,1,2,1,1,0,2
188,0,2,1,1,1,4,4,2,1,2,0,1,3,2
189,0,2,1,1,3,0,0,2,1,2,0,1,0,2
190,0,2,1,1,0,4,3,2,0,2,0,1,3,1
191,1,0,1,1,1,3,3,2,0,1,2,1,3,2
192,1,0,1,1,4,3,3,2,0,1,2,0,1,2
193,1,2,1,1,1,3,3,2,1,2,1,1,3,2
194,1,0,1,1,4,3,3,2,1,2,1,1,3,1
195,0,2,0,1,2,1,2,0,2,1,2,1,0,0
196,0,2,1,1,4,4,3,2,0,2,1,1,3,1
197,0,2,1,1,0,5,3,2,0,2,0,1,3,1
198,0,2,1,1,1,5,5,2,1,2,1,1,3,2
199,0,2,1,1,1,4,3,2,1,2,1,1,0,2
200,0,2,1,1,1,5,5,2,0,2,1,1,3,2
201,0,2,1,1,3,4,4,2,0,2,0,1,3,2
202,0,2,1,1,1,0,0,2,0,2,1,1,3,2
203,0,2,1,1,1,3,3,2,1,2,1,1,3,2
204,0,2,1,1,1,0,0,2,0,2,1,1,3,2
205,0,2,1,1,2,4,3,2,0,2,1,1,3,2
206,0,2,1,1,1,0,0,2,1,2,1,1,3,2
207,0,2,1,1,3,3,3,2,1,2,1,1,0,2
208,0,2,1,1,1,3,3,2,0,2,1,0,1,2
209,1,1,1,1,1,4,5,2,0,2,0,1,3,2
210,0,2,1,1,1,4,4,2,1,2,1,1,3,2
211,0,2,1,1,1,0,0,2,0,2,1,1,3,2
212,0,2,1,1,1,4,4,2,0,2,1,1,3,2
213,0,2,0,1,1,1,4,0,2,2,1,1,3,2
214,1,2,1,1,3,2,4,2,0,1,2,1,3,2
215,1,2,1,1,1,3,3,2,1,2,1,1,3,2
216,0,2,1,1,1,3,2,2,1,1,2,1,3,2
217,0,2,1,1,1,2,2,2,0,2,1,1,3,1
218,0,2,1,1,1,3,3,2,1,2,1,1,3,2
219,0,2,1,1,3,4,4,2,0,2,0,1,3,2
220,0,2,1,1,1,4,5,2,0,2,1,1,3,2
221,1,2,1,1,1,3,3,2,0,2,0,1,3,2
222,0,2,1,1,1,0,0,2,0,1,2,1,0,2
223,0,2,0,1,1,1,0,0,2,2,0,1,0,2
224,0,2,1,1,1,4,4,2,1,2,0,1,3,2
225,0,2,1,1,1,3,3,2,1,2,1,1,0,2
226,0,2,1,1,1,5,4,2,0,2,0,1,3,2
227,0,2,1,1,1,4,0,2,1,2,0,1,3,2
228,0,2,1,1,1,4,5,2,0,1,2,1,3,2
229,0,2,1,1,1,2,2,2,1,2,1,1,0,2
230,0,2,1,1,3,4,4,2,0,2,1,1,3,2
231,0,2,1,1,1,4,4,2,1,2,1,1,3,2
232,0,2,1,1,1,0,0,2,0,2,1,1,3,2
233,0,2,1,1,1,4,4,2,1,2,0,1,3,2
234,0,2,1,1,1,2,0,2,1,2,2,1,3,2
235,0,2,1,1,1,5,3,2,1,2,1,1,3,2
236,0,2,1,1,1,5,5,2,0,2,0,1,3,2
237,0,2,1,1,1,4,4,2,0,2,0,1,3,2
238,0,2,1,1,1,5,5,2,0,2,1,1,3,2
239,0,2,1,1,3,3,2,2,1,2,1,1,0,2
240,0,2,1,1,1,0,3,2,1,2,1,1,3,2
241,0,2,1,1,1,0,3,2,0,2,1,1,3,2
242,0,2,1,1,1,3,3,2,1,2,1,1,3,2
243,0,2,1,1,0,4,4,2,1,2,0,1,3,1
