IdAlumno,IdSocial,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
125,125,0,1,0,1,1,0,1,0,0,0,0,1,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
126,126,0,1,0,2,9,2,1,0,0,1,0,0,1,0,2,0,1,3,1,3,0,2,2,1,1,3,1
127,127,0,1,0,2,7,2,4,0,0,0,0,0,1,0,2,1,1,3,4,4,2,1,2,0,1,3,2
128,128,0,1,0,1,6,2,1,0,0,0,1,1,1,1,0,1,1,3,0,0,2,1,2,0,1,0,2
129,129,0,1,0,1,9,2,1,0,0,0,0,2,1,1,2,1,1,1,4,4,2,0,2,0,1,3,2
130,130,0,1,0,1,0,2,2,1,1,1,0,1,1,0,2,1,1,1,4,5,2,0,2,1,1,0,2
131,131,0,1,0,2,9,2,1,0,0,0,0,0,1,0,2,1,1,1,4,0,2,1,2,1,1,0,2
132,132,0,1,0,0,0,2,2,0,1,0,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
133,133,0,1,0,1,9,2,1,1,1,0,0,1,1,0,2,1,1,1,4,4,2,0,1,2,1,3,2
134,134,0,1,0,2,9,2,1,0,0,1,0,0,1,1,2,1,1,1,4,0,1,2,1,2,1,2,0
135,135,0,1,0,1,0,2,1,0,0,1,0,1,0,0,2,1,1,1,0,4,2,0,2,0,1,3,1
136,136,0,1,0,1,5,2,1,1,1,0,0,1,1,1,1,1,1,1,4,0,2,0,2,1,1,3,2
137,137,0,1,0,0,9,2,1,0,0,0,0,1,1,1,2,1,1,2,3,4,2,1,2,0,0,1,2
138,138,0,1,0,0,9,2,1,0,0,0,0,1,0,0,2,1,1,1,4,4,2,0,2,0,1,3,2
139,139,0,1,0,1,5,2,1,0,0,0,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
140,140,0,1,0,2,6,2,1,0,0,0,0,0,1,0,2,1,1,1,0,0,2,1,2,1,1,3,2
141,141,0,1,0,0,0,2,1,0,0,0,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
142,142,0,1,0,2,0,2,2,0,0,0,0,0,1,0,2,1,1,1,0,4,2,1,2,1,1,3,2
143,143,0,1,0,2,0,2,1,0,0,1,0,0,0,0,2,1,1,1,4,0,2,0,2,0,1,3,2
144,144,0,1,0,0,9,2,1,0,0,1,0,2,0,0,2,1,1,0,0,0,2,0,2,0,1,3,2
145,145,0,1,0,0,5,2,1,0,1,1,0,2,0,1,2,1,1,1,5,5,2,1,2,1,1,3,2
146,146,0,1,0,1,5,2,1,1,1,0,1,1,1,1,0,1,1,4,3,3,2,1,2,1,1,0,2
147,147,0,1,0,2,9,2,1,0,0,1,0,0,1,1,2,1,1,1,4,3,2,0,2,1,1,3,1
148,148,0,1,0,1,9,2,1,0,1,0,0,2,1,0,2,1,1,1,4,4,2,0,1,2,1,3,2
149,149,0,2,0,0,9,2,1,0,1,0,0,2,1,0,2,1,1,3,4,4,2,1,2,1,1,3,2
150,150,0,2,0,1,5,2,1,0,1,0,0,1,0,0,2,1,1,1,4,4,2,0,2,0,1,3,2
151,151,0,2,0,1,9,2,1,0,0,0,0,1,1,0,0,1,1,1,4,5,2,1,1,2,1,3,2
152,152,0,2,0,0,9,2,1,0,1,0,0,2,1,0,2,1,1,1,0,0,2,0,2,0,1,3,2
153,153,0,2,0,0,0,2,1,0,1,1,0,2,1,0,2,1,1,0,4,4,2,0,2,0,1,3,0
154,154,0,2,0,0,5,2,1,0,0,0,0,2,1,0,2,1,1,1,0,4,2,1,2,0,1,3,2
155,155,0,2,0,0,1,0,1,0,1,0,0,2,1,0,0,1,1,1,1,1,0,2,0,2,1,1,2
156,156,0,2,0,2,1,0,2,0,1,1,0,0,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
157,157,0,2,0,1,5,2,1,0,2,0,0,2,0,0,2,1,1,1,4,4,2,1,2,1,1,3,2
158,158,0,2,0,2,5,2,1,0,1,0,0,0,1,0,2,1,1,1,5,0,2,1,1,2,1,3,2
159,159,0,2,0,2,5,2,1,0,0,0,0,0,1,0,2,1,1,1,4,5,2,1,2,1,1,3,1
160,160,0,2,0,1,5,2,2,0,1,0,0,1,1,1,2,1,1,1,0,0,2,1,2,1,1,3,2
161,161,0,3,0,1,9,2,1,0,1,0,0,1,0,0,2,1,1,1,4,4,2,0,2,0,1,3,2
162,162,0,3,0,2,1,0,2,0,1,1,0,0,0,0,2,0,0,2,1,1,0,2,0,2,1,3,1
163,163,0,3,0,0,0,2,1,0,1,1,0,2,0,0,2,1,1,1,0,3,2,1,2,1,1,3,2
164,164,0,3,0,1,0,2,2,0,1,0,0,1,0,0,2,1,1,1,2,4,2,0,2,0,1,3,2
165,165,0,3,0,0,1,2,1,0,1,1,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,0,2
166,166,0,3,0,0,1,0,3,0,1,1,0,2,0,0,2,1,1,1,3,0,2,0,2,0,1,3,2
167,167,0,3,0,0,1,0,1,0,1,0,0,2,1,0,2,1,1,1,5,4,2,0,2,1,1,3,2
168,168,0,3,0,2,0,2,1,0,1,0,0,0,1,0,2,1,1,1,3,5,2,1,2,1,1,3,2
169,169,0,3,0,1,0,2,1,0,1,1,0,2,0,0,2,1,1,1,4,0,2,0,2,1,1,3,2
170,170,0,3,0,2,9,1,1,0,0,0,0,0,1,0,2,1,1,1,3,3,2,0,2,0,1,0,2
171,171,0,3,0,1,0,2,1,0,1,1,0,1,0,0,2,1,1,1,4,4,2,1,2,1,1,3,2
172,172,0,3,0,2,5,2,1,0,1,1,0,0,1,0,2,1,0,1,3,1,2,1,0,2,1,2,1
173,173,0,3,0,2,0,2,1,0,0,1,0,0,1,0,2,1,1,1,0,3,1,2,1,2,0,1,0
174,174,0,3,0,2,1,0,1,0,1,0,0,2,0,1,0,1,1,1,3,0,2,1,2,1,1,3,2
175,175,0,3,0,1,0,2,2,0,0,0,0,1,0,0,2,1,1,1,4,4,2,1,2,1,1,3,2
176,176,0,3,0,2,0,2,3,0,2,1,0,0,1,0,2,1,1,4,4,3,2,1,2,1,1,3,1
177,177,0,0,0,2,9,1,3,1,1,0,0,0,0,0,2,1,1,1,3,3,2,1,2,1,1,3,1
178,178,0,0,0,2,9,2,3,1,0,0,0,0,0,0,2,1,1,1,4,5,2,1,2,1,1,3,1
179,179,0,0,0,2,0,2,1,1,1,0,0,0,0,0,2,1,1,1,4,4,1,2,2,0,1,3,1
180,180,0,3,0,1,5,2,1,1,1,0,0,2,1,0,2,1,1,3,5,5,2,1,1,2,1,3,2
181,181,0,0,0,2,5,2,2,1,0,1,0,0,1,0,2,1,1,1,4,3,2,0,1,2,1,3,2
182,182,0,2,0,2,6,2,1,1,1,1,0,0,0,0,2,1,1,1,4,3,1,2,1,2,1,3,2
183,183,1,0,0,0,4,2,1,0,2,1,0,2,1,0,2,1,1,2,4,4,2,1,2,1,1,3,2
184,184,1,0,0,0,4,2,1,0,2,1,0,2,1,1,0,1,1,1,0,3,2,0,2,1,1,0,2
185,185,1,0,0,2,4,2,3,0,2,1,0,0,0,0,2,1,1,0,3,2,2,1,2,1,1,3,1
186,186,1,0,0,0,4,2,2,0,2,1,0,2,0,0,2,1,1,1,1,1,0,2,0,2,1,1,2
187,187,1,0,0,1,4,2,1,0,2,1,0,1,0,0,0,1,1,1,3,3,2,1,2,1,1,0,2
188,188,1,0,0,1,1,0,2,0,2,0,0,2,0,0,2,1,1,1,4,4,2,1,2,0,1,3,2
189,189,0,0,0,1,9,2,1,0,2,1,0,2,0,0,2,1,1,3,0,0,2,1,2,0,1,0,2
190,190,1,0,0,2,1,0,2,0,2,1,0,0,0,0,2,1,1,0,4,3,2,0,2,0,1,3,1
191,191,1,0,0,2,3,2,1,0,2,1,0,0,1,1,0,1,1,1,3,3,2,0,1,2,1,3,2
192,192,0,0,0,2,0,2,3,0,2,1,0,0,0,1,0,1,1,4,3,3,2,0,1,2,0,1,2
193,193,1,0,0,1,1,0,1,0,2,0,0,1,1,1,2,1,1,1,3,3,2,1,2,1,1,3,2
194,194,1,0,0,2,1,0,3,0,2,0,0,0,0,1,0,1,1,4,3,3,2,1,2,1,1,3,1
195,195,0,0,0,2,0,2,2,0,2,0,0,1,1,0,2,0,1,2,1,2,0,2,1,2,1,0,0
196,196,1,2,0,2,1,0,2,0,2,0,0,0,1,0,2,1,1,4,4,3,2,0,2,1,1,3,1
197,197,1,2,0,2,1,0,2,0,2,1,0,0,1,0,2,1,1,0,5,3,2,0,2,0,1,3,1
198,198,0,0,0,1,9,2,1,1,1,0,0,0,1,0,2,1,1,1,5,5,2,1,2,1,1,3,2
199,199,0,0,0,0,5,2,2,0,2,0,0,2,1,0,2,1,1,1,4,3,2,1,2,1,1,0,2
200,200,0,2,0,0,5,2,2,0,2,0,0,2,1,0,2,1,1,1,5,5,2,0,2,1,1,3,2
201,201,0,2,0,0,1,0,2,0,2,0,0,2,1,0,2,1,1,3,4,4,2,0,2,0,1,3,2
202,202,0,0,0,2,0,2,1,0,1,1,0,1,1,0,2,1,1,1,0,0,2,0,2,1,1,3,2
203,203,0,0,0,1,0,2,1,0,1,1,0,1,0,0,2,1,1,1,3,3,2,1,2,1,1,3,2
204,204,0,0,0,2,1,0,2,0,1,1,0,1,1,0,2,1,1,1,0,0,2,0,2,1,1,3,2
205,205,0,1,0,2,5,2,1,0,1,1,1,0,1,0,2,1,1,2,4,3,2,0,2,1,1,3,2
206,206,0,2,0,1,7,2,2,0,1,1,0,1,1,0,2,1,1,1,0,0,2,1,2,1,1,3,2
207,207,0,3,0,1,5,2,1,0,1,1,0,1,0,0,2,1,1,3,3,3,2,1,2,1,1,0,2
208,208,0,3,0,1,5,2,1,1,1,1,0,1,0,0,2,1,1,1,3,3,2,0,2,1,0,1,2
209,209,0,3,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,4,5,2,0,2,0,1,3,2
210,210,0,3,0,1,1,0,3,0,1,0,0,2,1,0,2,1,1,1,4,4,2,1,2,1,1,3,2
211,211,0,0,0,1,1,0,2,0,1,1,0,0,0,0,2,1,1,1,0,0,2,0,2,1,1,3,2
